상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-06-13,1899-0519,SPOTV2,식사지원 사랑이," 40,957 ", 1 , 1 , 1 , 1 ," 20,000 ",,,100%,100%,100%," 40,957 ",5.86
2026-06-13,1899-0325,SPOTV G&H (SVC),식사지원 사랑이, - , 2 , 1 , 1 ,,, 1 ," 20,000 ",100%,50%,0%, - ,0.00
2026-06-13,1899-7325,JTBC4,식사지원 사랑이," 184,944 ", 6 , 1 , 1 , 1 ," 50,000 ",,,100%,17%,100%," 184,944 ",3.24
2026-06-13,1899-2887,JTBC4,한아이 세아ver2," 184,944 ", 6 , 3 , 3 , 1 ," 20,000 ",,,100%,50%,33%," 61,648 ",1.30
2026-06-13,1899-7315,JTBC4,뇌병변 지혜ver2," 123,296 ", 4 , 1 , 1 , 1 ," 30,000 ",,,100%,25%,100%," 123,296 ",2.92
2026-06-13,1899-0263,JTBC4,이유식 안부," 246,592 ", 8 , 3 , 3 , 2 ," 30,000 ",,,100%,38%,67%," 82,197 ",1.46
2026-06-13,1899-7319,JTBC4,식사지원 준우_메인," 123,296 ", 4 , 1 , 1 , 1 ," 20,000 ",,,100%,25%,100%," 123,296 ",1.95
2026-06-13,1899-7316,JTBC4,식사지원 준우_셰프," 123,296 ", 4 , 2 , 1 , 1 ," 10,000 ",,,50%,50%,100%," 61,648 ",0.97
2026-06-13,1899-3569,JTBC4,식사지원 준우_아동," 123,296 ", 4 , 1 , - , 1 ," 20,000 ",,,0%,25%,0%," 123,296 ",1.95
2026-06-13,1899-3854,JTBC4,식사지원 준우_할머니," 123,296 ", 4 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-13,1899-7326,JTBC2 (SVC),뇌병변 지혜, - , 1 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-13,1899-0776,라이프타임,뇌병변 무준이ver2," 426,915 ", 9 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-13,1899-7314,히스토리 (SVC),식사지원 사랑이, - , 10 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-13,1899-5186,시네마천국,한아이 세아ver2," 183,333 ", 8 , 2 , 1 ,,,,,50%,25%,0%," 91,667 ",0.00
2026-06-13,1899-7317,빌리어즈TV,식사지원 사랑이," 256,667 ", 4 , 2 , 2 ,,,,,100%,50%,0%," 128,333 ",0.00
2026-06-13,-,기타 TV채널,-, - , - , 1 ,,,,,,0%,0%,0%, - ,0.00
2026-06-13,2102-4590,발신,-, - , - , 1 , 1 ,,,,,100%,0%,0%, - ,0.00
2026-06-14,1899-0218,EBS,뇌병변 무준이ver2," 626,248 ", 1 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-14,1899-0219,SPOTV,식사지원 사랑이," 81,915 ", 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-14,1899-0519,SPOTV2,식사지원 사랑이," 40,957 ", 1 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-14,1899-0325,SPOTV G&H (SVC),식사지원 사랑이, - , 2 , 1 ,,,,,,0%,50%,0%, - ,0.00
2026-06-14,1899-7325,JTBC4,식사지원 사랑이," 254,041 ", 8 , 4 , 3 , 1 ," 25,000 ",,,75%,50%,33%," 63,510 ",1.18
2026-06-14,1899-2887,JTBC4,한아이 세아ver2," 254,041 ", 8 , 1 , 1 , 1 ," 50,000 ",,,100%,13%,100%," 254,041 ",2.36
2026-06-14,1899-7315,JTBC4,뇌병변 지혜ver2," 158,775 ", 5 , 1 , 1 , 1 ," 20,000 ",,,100%,20%,100%," 158,775 ",1.51
2026-06-14,1899-0263,JTBC4,이유식 안부," 317,551 ", 10 , 6 , 5 , 1 ," 25,000 ",,,83%,60%,20%," 52,925 ",0.94
2026-06-14,1899-7319,JTBC4,식사지원 준우_메인," 158,775 ", 5 , 2 ,, 1 ," 100,000 ",,,0%,40%,0%," 79,388 ",7.56
2026-06-14,1899-7316,JTBC4,식사지원 준우_셰프," 158,775 ", 5 , 1 , 1 ,,,,,100%,20%,0%," 158,775 ",0.00
2026-06-14,1899-3569,JTBC4,식사지원 준우_아동," 158,775 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-14,1899-3854,JTBC4,식사지원 준우_할머니," 158,775 ", 5 , 1 , 1 , 1 ," 20,000 ",,,100%,20%,100%," 158,775 ",1.51
2026-06-14,1899-7326,JTBC2 (SVC),뇌병변 지혜, - , 1 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-14,1899-0776,라이프타임,뇌병변 무준이ver2," 349,294 ", 8 , 2 , 1 ,,,,,50%,25%,0%," 174,647 ",0.00
2026-06-14,1899-7314,히스토리 (SVC),식사지원 사랑이, - , 10 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-14,1899-5186,시네마천국,한아이 세아ver2," 183,333 ", 8 , 1 ,,,,,,0%,13%,0%," 183,333 ",0.00
2026-06-14,1899-7317,빌리어즈TV,식사지원 사랑이," 256,667 ", 4 , 1 , 1 , 1 ," 20,000 ",,,100%,25%,100%," 256,667 ",0.94
2026-06-14,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-06-14,2102-4590,발신,-, - , - , 1 , 1 ,,,,,100%,0%,0%, - ,0.00
